"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2
48,STRĂINĂTATE,GRECIA,9999,SPARTI,SPARTI,257,"Alegeri Prezidentiale",1,0,361,0,361,0,360,1,5000,4639,320,40
48,STRĂINĂTATE,GRECIA,9999,IRAKLIO,IRAKLIO,258,"Alegeri Prezidentiale",1,0,219,0,219,0,218,1,4999,4780,182,36
48,STRĂINĂTATE,GRECIA,9999,THIVA,THIVA,260,"Alegeri Prezidentiale",1,0,246,0,246,0,244,2,5000,4754,228,16
48,STRĂINĂTATE,GRECIA,9999,SALONIC,SALONIC,261,"Alegeri Prezidentiale",1,0,230,0,230,0,225,5,2500,2270,182,43
48,STRĂINĂTATE,GRECIA,9999,SALONIC,SALONIC,262,"Alegeri Prezidentiale",1,0,100,0,100,0,98,2,2500,2400,86,12
48,STRĂINĂTATE,IORDANIA,9999,AMMAN,AMMAN,263,"Alegeri Prezidentiale",1,0,264,0,264,0,264,0,800,536,228,36
48,STRĂINĂTATE,INDIA,9999,"NEW DELHI","NEW DELHI",264,"Alegeri Prezidentiale",1,0,75,0,75,0,75,0,200,125,57,18
48,STRĂINĂTATE,"REPUBLICA INDONEZIA",9999,JAKARTA,JAKARTA,265,"Alegeri Prezidentiale",1,0,67,0,67,0,64,3,250,183,37,27
48,STRĂINĂTATE,IRLANDA,9999,DUBLIN,DUBLIN,273,"Alegeri Prezidentiale",1,0,755,0,755,0,749,6,4000,3245,717,32
48,STRĂINĂTATE,IRLANDA,9999,KILKENNY,KILKENNY,279,"Alegeri Prezidentiale",1,0,572,0,572,0,570,2,3500,2928,538,32
48,STRĂINĂTATE,ISRAEL,9999,"TEL AVIV","TEL AVIV",282,"Alegeri Prezidentiale",1,0,527,0,527,0,525,2,4000,3473,470,55
48,STRĂINĂTATE,ISRAEL,9999,"TEL AVIV","TEL AVIV",283,"Alegeri Prezidentiale",1,0,252,0,252,0,251,1,4001,3749,216,35
48,STRĂINĂTATE,ISRAEL,9999,IERUSALIM,IERUSALIM,284,"Alegeri Prezidentiale",1,0,1251,0,1251,0,1197,54,4000,2749,713,484
48,STRĂINĂTATE,ISRAEL,9999,HAIFA,HAIFA,285,"Alegeri Prezidentiale",1,0,364,0,364,0,360,4,4000,3636,272,88
48,STRĂINĂTATE,ITALIA,9999,NAPOLI,NAPOLI,295,"Alegeri Prezidentiale",2,0,884,0,884,0,879,5,4000,3116,813,66
48,STRĂINĂTATE,ITALIA,9999,VITERBO,VITERBO,300,"Alegeri Prezidentiale",1,0,1486,0,1486,0,1482,4,10000,8514,1374,108
48,STRĂINĂTATE,ITALIA,9999,CAGLIARI,CAGLIARI,305,"Alegeri Prezidentiale",1,0,438,0,438,0,432,6,3200,2762,367,65
48,STRĂINĂTATE,ITALIA,9999,TRIESTE,TRIESTE,309,"Alegeri Prezidentiale",1,0,974,0,974,0,965,9,6000,5026,851,114
48,STRĂINĂTATE,ITALIA,9999,"PRATA DI PORDENONE","PRATA DI PORDENONE",314,"Alegeri Prezidentiale",1,0,830,0,830,0,826,4,4000,3170,766,60
48,STRĂINĂTATE,ITALIA,9999,BARI,BARI,329,"Alegeri Prezidentiale",1,0,230,0,230,0,224,6,5000,4770,193,31
48,STRĂINĂTATE,ITALIA,9999,BARI,BARI,330,"Alegeri Prezidentiale",1,0,326,0,326,0,317,9,5001,4675,267,50
48,STRĂINĂTATE,ITALIA,9999,LECCE,LECCE,332,"Alegeri Prezidentiale",1,0,330,0,330,0,325,5,10000,9670,292,33
48,STRĂINĂTATE,ITALIA,9999,GINOSA,GINOSA,335,"Alegeri Prezidentiale",1,0,251,0,251,0,248,3,1001,750,226,22
48,STRĂINĂTATE,ITALIA,9999,COSENZA,COSENZA,336,"Alegeri Prezidentiale",1,0,308,0,308,0,305,3,10000,9692,278,27
48,STRĂINĂTATE,ITALIA,9999,CROTONE,CROTONE,338,"Alegeri Prezidentiale",1,0,146,0,146,0,146,0,3001,2855,125,21
48,STRĂINĂTATE,ITALIA,9999,CATANZARO,CATANZARO,339,"Alegeri Prezidentiale",1,0,184,0,184,0,184,0,4001,3817,173,11
48,STRĂINĂTATE,ITALIA,9999,POTENZA,POTENZA,341,"Alegeri Prezidentiale",1,0,192,0,192,0,192,0,4000,3808,173,19
48,STRĂINĂTATE,ITALIA,9999,CAMPOBASSO,CAMPOBASSO,343,"Alegeri Prezidentiale",1,0,249,0,249,0,246,3,2000,1751,220,26
48,STRĂINĂTATE,ITALIA,9999,RIMINI,RIMINI,353,"Alegeri Prezidentiale",1,0,1034,0,1034,0,1029,5,10000,8966,944,85
48,STRĂINĂTATE,ITALIA,9999,PESARO,PESARO,356,"Alegeri Prezidentiale",1,0,691,0,691,0,684,7,10000,9309,639,45
48,STRĂINĂTATE,ITALIA,9999,ANCONA,ANCONA,357,"Alegeri Prezidentiale",1,0,1672,0,1672,0,1655,17,10000,8328,1507,148
48,STRĂINĂTATE,ITALIA,9999,PRATO,PRATO,359,"Alegeri Prezidentiale",1,0,1414,0,1414,0,1407,7,10000,8586,1315,92
48,STRĂINĂTATE,ITALIA,9999,MASSA,MASSA,365,"Alegeri Prezidentiale",1,0,1327,0,1327,0,1320,7,10000,8673,1239,81
48,STRĂINĂTATE,ITALIA,9999,PALERMO,PALERMO,373,"Alegeri Prezidentiale",1,0,952,0,952,0,942,10,3000,2048,820,122
48,STRĂINĂTATE,ITALIA,9999,VITTORIA,VITTORIA,374,"Alegeri Prezidentiale",1,0,555,0,555,0,546,9,3000,2445,492,54
48,STRĂINĂTATE,ITALIA,9999,COMO,COMO,380,"Alegeri Prezidentiale",1,0,1546,0,1546,0,1535,11,3500,1954,1400,135
48,STRĂINĂTATE,ITALIA,9999,LODI,LODI,382,"Alegeri Prezidentiale",2,0,2125,0,2125,0,2113,12,4500,2375,1968,145
48,STRĂINĂTATE,ITALIA,9999,CIRIE,CIRIE,411,"Alegeri Prezidentiale",2,0,876,0,876,0,872,4,5000,4124,823,49
